*****Rover GA expirement*****
Date:2017-06-19 13:32:48.056774
Population size:30
Generation Count:30
Mutation Probability:0.15
Cross Over Probability:0.25
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Fitness
0, 0, 74, 44, 25, 2.2284289559, 1.28043908546, inf
0, 1, 351, 56, 75, 4.63261093361, 2.47458939196, inf
0, 2, 213, 13, 79, 0.347498458417, 1.81693094701, inf
0, 3, 108, 73, 45, 2.52457484718, 2.64174983324, inf
0, 4, 345, 98, 37, 4.40206803417, 3.54989682161, 94.6575
0, 5, 294, 97, 21, 1.59220172479, 2.41484269313, inf
0, 6, 157, 29, 19, 4.60638341756, 4.85172367345, inf
0, 7, 356, 79, 41, 1.55216645775, 2.01770805841, inf
0, 8, 56, 12, 47, 2.07497865173, 3.26826056086, inf
0, 9, 246, 10, 85, 2.13044968679, 2.39120777035, inf
0, 10, 179, 37, 91, 4.83041559229, 0.919647179713, 98.3025
0, 11, 371, 81, 83, 1.41398945723, 4.49005344219, inf
0, 12, 253, 46, 3, 2.58337958279, 0.872824443115, 102.975
0, 13, 150, 86, 35, 4.07261575665, 1.83343826993, 93.9825
0, 14, 90, 40, 17, 0.768761990633, 3.36996893065, inf
0, 15, 293, 19, 73, 2.67636781268, 0.50023893118, inf
0, 16, 84, 70, 91, 4.12079359891, 3.00020963821, inf
0, 17, 73, 74, 7, 3.89680492396, 0.444463237146, inf
0, 18, 390, 48, 21, 0.495159619808, 1.31934815772, inf
0, 19, 296, 27, 7, 3.75993299924, 0.840770542663, inf
0, 20, 108, 21, 15, 1.22405774715, 0.354559972104, inf
0, 21, 54, 12, 39, 4.6097982253, 4.1807729423, inf
0, 22, 242, 17, 93, 1.33901125736, 2.60633493949, inf
0, 23, 246, 42, 23, 4.49009019055, 0.541287299842, 94.185
0, 24, 169, 69, 29, 0.104286100839, 0.411426067434, 92.4075
0, 25, 304, 52, 37, 4.21088278246, 3.2334902918, 96.88
0, 26, 119, 21, 89, 2.03249700238, 2.76044660311, inf
0, 27, 176, 94, 61, 4.12696434315, 2.03052808403, 91.09
0, 28, 289, 8, 13, 1.50006460811, 1.4462495118, inf
0, 29, 383, 23, 55, 4.3607545576, 2.68192553244, inf
1, 27, 176, 94, 61, 4.12696434315, 2.03052808403, 96.2525
1, 30, 54, 12, 39, 4.6097982253, 4.1807729423, inf
1, 31, 345, 98, 37, 4.40206803417, 3.54989682161, inf
1, 32, 119, 21, 89, 2.03249700238, 2.76044660311, inf
1, 33, 242, 17, 93, 1.33901125736, 2.60633493949, inf
1, 34, 383, 23, 55, 4.3607545576, 2.68192553244, inf
1, 35, 289, 8, 13, 3.56649591835, 1.4462495118, inf
1, 36, 169, 28, 29, 0.104286100839, 0.411426067434, 95.875
1, 37, 108, 21, 15, 1.22405774715, 0.354559972104, inf
1, 38, 294, 97, 21, 1.59220172479, 2.41484269313, inf
1, 39, 84, 70, 91, 4.12696434315, 2.03052808403, inf
1, 40, 150, 86, 35, 4.07261575665, 1.83343826993, 94.3775
1, 41, 293, 19, 73, 2.67636781268, 2.41484269313, inf
1, 42, 84, 70, 91, 4.12079359891, 1.31934815772, inf
1, 43, 169, 69, 29, 0.104286100839, 2.96274299488, 94.185
1, 44, 345, 98, 37, 4.40206803417, 3.54989682161, inf
1, 45, 253, 46, 3, 2.58337958279, 0.872824443115, 103.255
1, 46, 169, 69, 29, 0.104286100839, 0.411426067434, 95.8925
1, 47, 253, 74, 61, 4.12079359891, 3.00020963821, 94.2325
1, 48, 119, 21, 89, 2.03249700238, 2.76044660311, inf
1, 49, 304, 83, 85, 2.13044968679, 2.39120777035, inf
1, 50, 56, 12, 47, 2.07497865173, 3.26826056086, inf
1, 51, 108, 73, 45, 2.52457484718, 2.64174983324, inf
1, 52, 390, 10, 37, 1.42678311771, 0.872824443115, inf
1, 53, 390, 38, 21, 0.495159619808, 3.00020963821, inf
1, 54, 258, 97, 21, 1.59220172479, 0.50023893118, 91.2525
1, 55, 176, 94, 7, 3.89680492396, 0.444463237146, 91.7725
1, 56, 73, 46, 3, 2.58337958279, 3.2334902918, inf
1, 57, 246, 48, 21, 0.495159619808, 1.31934815772, 95.985
1, 58, 169, 69, 29, 0.104286100839, 0.411426067434, 90.75
2, 58, 169, 69, 97, 0.104286100839, 0.411426067434, inf
2, 59, 54, 12, 39, 4.6097982253, 4.1807729423, inf
2, 60, 169, 28, 29, 0.104286100839, 0.411426067434, 93.825
