*****Rover GA expirement*****
Date:2017-06-20 14:00:04.214770
Population size:30
Generation Count:30
Mutation Probability:0.1
Cross Over Probability:0.25
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Fitness
0, 0, 392, 53, 43, 2.25381797415, 1.53147701793, 97.935
0, 1, 141, 1, 37, 1.569986104, 3.37950251422, inf
0, 2, 124, 71, 65, 0.253093075537, 0.798261152455, inf
0, 3, 150, 89, 19, 3.70401111326, 3.5618833408, 91.65
0, 4, 86, 99, 15, 3.23759772626, 1.98125090825, inf
0, 5, 301, 19, 75, 0.478406812652, 0.763210303833, 101.8975
0, 6, 148, 42, 47, 2.49008918342, 4.08258163545, 93.6925
0, 7, 51, 28, 5, 0.344362057012, 3.84990830834, inf
0, 8, 231, 49, 5, 3.60998242777, 4.61888759472, 96.705
0, 9, 364, 79, 97, 3.43961142264, 1.51511338999, 103.7525
0, 10, 290, 32, 29, 1.74587988734, 4.49975130528, inf
0, 11, 205, 10, 71, 0.857637412378, 1.28998226308, inf
0, 12, 299, 71, 73, 0.846907624274, 0.53928385127, 95.8825
0, 13, 306, 16, 77, 4.02841995989, 1.97730154422, inf
0, 14, 298, 24, 33, 4.09030386503, 0.397052096434, inf
0, 15, 168, 5, 37, 0.2239596759, 4.68130568001, inf
0, 16, 191, 46, 27, 4.05207446775, 3.91526789942, 92.3575
0, 17, 315, 6, 33, 3.49626855487, 4.42723515261, inf
0, 18, 210, 74, 33, 2.73233465977, 2.93107631385, inf
0, 19, 321, 94, 83, 2.74025575144, 3.85651501714, inf
0, 20, 373, 25, 47, 1.80892682282, 4.40681736992, inf
0, 21, 173, 58, 43, 3.44116126125, 1.61908285748, 92.775
0, 22, 180, 64, 29, 2.26946561795, 3.31451662278, 91.57
0, 23, 214, 2, 91, 2.73680107281, 1.66891883723, inf
0, 24, 187, 13, 3, 3.23038982814, 3.99340283298, inf
0, 25, 108, 86, 11, 3.40731557417, 4.93390910513, inf
0, 26, 309, 49, 25, 4.92763067754, 4.43453137951, 97.7675
0, 27, 335, 84, 83, 2.18967466663, 1.37764674067, inf
0, 28, 105, 57, 75, 2.15909839829, 1.46293472791, inf
0, 29, 158, 44, 15, 2.88100723413, 0.811885290069, inf
1, 22, 180, 64, 29, 2.26946561795, 3.31451662278, 91.51
1, 30, 301, 19, 75, 0.478406812652, 0.763210303833, inf
1, 31, 148, 42, 47, 2.49008918342, 4.08258163545, 99.3125
1, 32, 180, 64, 29, 2.26946561795, 3.31451662278, 91.8625
1, 33, 315, 6, 33, 3.49626855487, 4.43453137951, inf
1, 34, 373, 25, 47, 1.80892682282, 1.53147701793, inf
1, 35, 141, 42, 47, 2.49008918342, 3.31451662278, inf
1, 36, 335, 84, 83, 2.18967466663, 1.37764674067, inf
1, 37, 148, 42, 47, 2.49008918342, 4.08258163545, 97.77
1, 38, 141, 45, 37, 1.569986104, 3.37950251422, inf
1, 39, 148, 1, 37, 1.569986104, 3.37950251422, inf
1, 40, 108, 86, 11, 3.40731557417, 1.32569884676, inf
1, 41, 315, 42, 47, 2.49008918342, 4.08258163545, inf
1, 42, 148, 42, 47, 2.49008918342, 4.08258163545, 95.345
1, 43, 180, 64, 29, 2.26946561795, 3.31451662278, 91.29
1, 44, 180, 64, 29, 2.26946561795, 3.31451662278, 90.9775
1, 45, 180, 64, 29, 2.26946561795, 4.08258163545, 91.395
1, 46, 309, 49, 25, 4.92763067754, 4.42723515261, 97.3875
1, 47, 299, 7, 73, 0.846907624274, 0.53928385127, inf
1, 48, 373, 25, 47, 1.80892682282, 4.40681736992, inf
1, 49, 210, 74, 33, 2.73233465977, 2.93107631385, inf
1, 50, 210, 74, 33, 2.73233465977, 2.93107631385, inf
1, 51, 210, 74, 33, 2.73233465977, 2.93107631385, 94.875
1, 52, 299, 71, 73, 0.846907624274, 0.53928385127, 96.35
1, 53, 392, 53, 43, 2.25381797415, 1.53147701793, inf
1, 54, 392, 53, 43, 2.25381797415, 4.40681736992, inf
1, 55, 148, 6, 33, 3.49626855487, 4.42723515261, inf
1, 56, 210, 74, 33, 2.73233465977, 2.93107631385, inf
1, 57, 299, 71, 73, 0.846907624274, 0.53928385127, 98.47
1, 58, 191, 46, 27, 4.05207446775, 3.91526789942, inf
2, 44, 180, 64, 29, 2.26946561795, 3.31451662278, 95.235
2, 59, 180, 64, 45, 2.26946561795, 3.31451662278, 93.1075
2, 60, 335, 84, 83, 2.18967466663, 1.37764674067, inf
2, 61, 299, 7, 73, 0.846907624274, 0.53928385127, inf
2, 62, 148, 42, 47, 2.49008918342, 4.08258163545, inf
2, 63, 148, 1, 63, 1.569986104, 3.37950251422, inf
2, 64, 108, 86, 47, 2.49008918342, 4.08258163545, inf
2, 65, 180, 64, 29, 2.26946561795, 3.31451662278, 91.65
2, 66, 180, 64, 29, 2.26946561795, 3.31451662278, 91.2575
2, 67, 315, 42, 47, 2.49008918342, 4.08258163545, inf
2, 68, 148, 6, 33, 3.49626855487, 4.42723515261, inf
2, 69, 299, 71, 73, 0.846907624274, 0.53928385127, 95.92
2, 70, 299, 7, 73, 0.846907624274, 0.53928385127, inf
2, 71, 148, 7, 73, 0.846907624274, 0.53928385127, inf
2, 72, 309, 49, 25, 4.92763067754, 4.42723515261, 97.6
2, 73, 315, 6, 33, 3.49626855487, 4.43453137951, inf
2, 74, 299, 71, 73, 0.846907624274, 0.53928385127, 97.145
2, 75, 148, 42, 11, 3.40731557417, 1.32569884676, 97.3825
2, 76, 210, 74, 33, 2.73233465977, 2.93107631385, inf
2, 77, 148, 42, 47, 2.49008918342, 1.350981236, 96.22
2, 78, 148, 42, 33, 2.73233465977, 3.31451662278, inf
2, 79, 210, 74, 33, 2.73233465977, 2.93107631385, inf
2, 80, 180, 64, 29, 2.26946561795, 3.31451662278, 90.5125
2, 81, 299, 42, 47, 2.49008918342, 4.08258163545, inf
2, 82, 180, 64, 29, 2.26946561795, 3.31451662278, 95.905
2, 83, 180, 64, 29, 2.26946561795, 2.93107631385, inf
2, 84, 148, 42, 47, 2.49008918342, 4.08258163545, 94.2175
2, 85, 180, 64, 29, 2.26946561795, 3.31451662278, 95.97
2, 86, 210, 74, 47, 2.49008918342, 4.08258163545, inf
2, 87, 180, 64, 29, 2.26946561795, 4.08258163545, 91.9375
3, 80, 180, 86, 47, 2.49008918342, 4.08258163545, 90.4575
3, 88, 299, 7, 73, 0.846907624274, 4.80731235462, inf
3, 89, 148, 42, 47, 2.49008918342, 4.08258163545, 93.1725
3, 90, 180, 86, 47, 2.49008918342, 4.08258163545, 93.2475
3, 91, 299, 42, 47, 2.49008918342, 4.08258163545, inf
3, 92, 299, 71, 45, 3.49626855487, 0.53928385127, inf
3, 93, 148, 42, 11, 3.40731557417, 1.32569884676, 95.4725
3, 94, 148, 42, 33, 2.73233465977, 3.31451662278, inf
3, 95, 148, 6, 33, 3.49626855487, 4.42723515261, inf
3, 96, 299, 71, 73, 0.846907624274, 4.43453137951, 99.32
3, 97, 108, 64, 29, 2.26946561795, 3.31451662278, inf
3, 98, 180, 64, 45, 2.26946561795, 3.31451662278, inf
3, 99, 180, 64, 29, 2.26946561795, 4.82835243491, 90.3
3, 100, 335, 84, 83, 2.18967466663, 1.37764674067, inf
3, 101, 148, 1, 63, 2.98816999709, 3.37950251422, inf
3, 102, 148, 42, 47, 2.49008918342, 4.08258163545, 95.3625
3, 103, 108, 64, 29, 2.26946561795, 3.31451662278, inf
3, 104, 335, 84, 83, 2.18967466663, 1.37764674067, inf
3, 105, 210, 74, 47, 2.49008918342, 4.08258163545, 94.3275
3, 106, 148, 7, 73, 0.846907624274, 0.53928385127, inf
3, 107, 180, 64, 29, 2.26946561795, 3.31451662278, 91.405
3, 108, 309, 49, 25, 4.92763067754, 4.42723515261, 99.9725
3, 109, 180, 64, 29, 2.26946561795, 2.93107631385, 91.31
3, 110, 180, 71, 73, 0.846907624274, 0.53928385127, inf
3, 111, 180, 64, 73, 0.846907624274, 4.08258163545, 91.46
3, 112, 299, 64, 29, 2.26946561795, 3.31451662278, 96.865
3, 113, 299, 42, 33, 2.26946561795, 3.31451662278, inf
3, 114, 148, 42, 11, 3.40731557417, 1.32569884676, inf
3, 115, 315, 6, 47, 2.49008918342, 0.53928385127, inf
3, 116, 180, 64, 29, 2.26946561795, 3.31451662278, 91.515
4, 99, 180, 64, 29, 2.26946561795, 4.82835243491, 91.755
4, 117, 148, 64, 29, 2.26946561795, 4.08258163545, inf
4, 118, 180, 64, 29, 2.26946561795, 3.31451662278, 90.19
4, 119, 180, 86, 47, 2.49008918342, 4.08258163545, 91.3925
4, 120, 309, 49, 25, 2.49008918342, 4.08258163545, 97.7275
4, 121, 148, 42, 11, 3.40731557417, 1.32569884676, 98.35
4, 122, 180, 64, 29, 2.26946561795, 4.82835243491, 91.335
4, 123, 148, 42, 11, 3.40731557417, 1.32569884676, 95.28
4, 124, 309, 49, 29, 2.49008918342, 4.08258163545, 96.985
4, 125, 210, 6, 47, 2.49008918342, 3.10731110272, inf
4, 126, 315, 74, 47, 4.92763067754, 4.42723515261, inf
4, 127, 210, 85, 47, 2.49008918342, 4.08258163545, 92.29
4, 128, 210, 74, 47, 2.49008918342, 4.82835243491, inf
4, 129, 180, 71, 73, 0.846907624274, 0.53928385127, 96.2925
4, 130, 180, 64, 25, 4.92763067754, 4.42723515261, 95.1975
4, 131, 148, 42, 47, 2.26946561795, 4.82835243491, 95.2775
4, 132, 148, 42, 33, 2.73233465977, 3.31451662278, inf
4, 133, 180, 42, 47, 2.49008918342, 4.08258163545, 93.575
4, 134, 315, 6, 47, 2.49008918342, 0.53928385127, inf
4, 135, 210, 74, 47, 2.49008918342, 4.08258163545, 93.4075
4, 136, 180, 86, 47, 2.49008918342, 4.08258163545, 93.755
4, 137, 180, 64, 45, 2.26946561795, 3.31451662278, 91.2875
4, 138, 108, 64, 29, 2.26946561795, 3.31451662278, inf
4, 139, 180, 64, 29, 2.26946561795, 3.31451662278, 91.4625
4, 140, 180, 64, 29, 2.26946561795, 4.82835243491, 91.2725
4, 141, 180, 86, 47, 2.49008918342, 3.31451662278, 91.7775
4, 142, 299, 71, 73, 0.846907624274, 4.43453137951, 98.5625
4, 143, 108, 64, 29, 2.26946561795, 3.31451662278, inf
4, 144, 148, 42, 33, 2.73233465977, 3.31451662278, inf
4, 145, 180, 64, 29, 2.26946561795, 4.08258163545, 91.4475
5, 118, 180, 64, 29, 2.26946561795, 3.31451662278, 91.2925
5, 146, 180, 64, 29, 4.85382220858, 4.08258163545, 91.6125
5, 147, 315, 6, 47, 2.49008918342, 0.53928385127, inf
5, 148, 180, 64, 29, 2.26946561795, 4.82835243491, inf
5, 149, 180, 64, 45, 2.26946561795, 4.08258163545, 91.38
5, 150, 180, 64, 29, 2.09306744029, 4.82835243491, 91.0875
5, 151, 180, 64, 29, 2.26946561795, 4.82835243491, 98.5575
5, 152, 180, 64, 29, 2.26946561795, 3.31451662278, 91.395
5, 153, 180, 64, 29, 2.26946561795, 3.31451662278, inf
