*****Rover GA expirement*****
Date:2017-06-19 22:07:24.955781
Population size:40
Generation Count:30
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Fitness
1, 76, 356, 79, 41, 1.55216645775, 2.01770805841, inf
1, 77, 179, 37, 91, 4.83041559229, 4.78862725128, 97.1625
1, 78, 246, 10, 85, 2.58337958279, 0.872824443115, inf
2, 54, 176, 94, 37, 0.670909996307, 3.54989682161, 91.175
2, 79, 157, 29, 19, 4.60638341756, 4.85172367345, inf
2, 80, 351, 56, 75, 2.13044968679, 2.39120777035, inf
2, 81, 304, 52, 37, 4.21088278246, 3.2334902918, 98.5575
2, 82, 169, 69, 61, 0.104286100839, 0.411426067434, 89.7725
2, 83, 157, 29, 19, 4.60638341756, 4.85172367345, 96.2825
2, 84, 304, 52, 37, 1.93698938354, 3.2334902918, 96.4925
2, 85, 304, 52, 11, 4.21088278246, 3.2334902918, 96.8725
2, 86, 351, 56, 75, 4.86759310203, 2.47458939196, 104.965
2, 87, 304, 52, 37, 4.21088278246, 3.2334902918, 96.325
2, 88, 206, 81, 23, 1.89897051878, 0.541287299842, inf
2, 89, 179, 37, 91, 4.83041559229, 0.919647179713, 96.295
2, 90, 150, 37, 91, 4.83041559229, 0.919647179713, 100.665
2, 91, 179, 37, 91, 4.83041559229, 4.78862725128, 98.08
2, 92, 242, 17, 87, 4.32415913655, 1.59607479264, 105.5625
2, 93, 253, 46, 3, 4.63261093361, 2.47458939196, 103.975
2, 94, 157, 11, 19, 4.60638341756, 4.85172367345, 109.195
2, 95, 176, 94, 61, 4.12696434315, 2.03052808403, inf
2, 96, 169, 69, 29, 0.104286100839, 0.411426067434, 99.075
2, 97, 169, 69, 61, 4.07261575665, 1.83343826993, 95.9775
2, 98, 102, 94, 61, 4.12696434315, 2.03052808403, inf
2, 99, 206, 86, 35, 0.104286100839, 0.411426067434, 91.1675
2, 100, 150, 86, 35, 4.21088278246, 3.2334902918, 94.4575
2, 101, 150, 86, 35, 4.07261575665, 1.83343826993, 93.385
2, 102, 304, 52, 37, 4.21088278246, 3.2334902918, 97.66
